gender,ethnicity,t_schools,t_pupils,t_l2basics_94,pt_l2basics_94
Boys,ASIAN,85,2740,1903,69.45255474
Boys,BLACK,85,934,513,54.92505353
Boys,CHINESE,17,21,18,85.71428571
Boys,MIXED,82,562,337,59.96441281
Boys,WHITE,84,2260,1404,62.12389381
Girls,ASIAN,83,2700,1945,72.03703704
Girls,BLACK,83,954,641,67.19077568
Girls,CHINESE,17,32,29,90.625
Girls,MIXED,79,517,341,65.95744681
Girls,WHITE,83,2204,1610,73.04900181
Total,ASIAN,100,5440,3848,70.73529412
Total,BLACK,99,1888,1154,61.12288136
Total,CHINESE,30,53,47,88.67924528
Total,MIXED,98,1079,678,62.83595922
Total,WHITE,100,4464,3014,67.51792115
