gender,ethnicity,number_of_pupils,gld_number,gld_percent
Total,Total,15785,10733,67.9949319
Total,White,5352,3664,68.46038864
Total,Asian,5460,3733,68.36996337
Total,Black,1675,1168,69.73134328
Total,Chinese,75,57,76
Total,Mixed,1655,1162,70.21148036
Girls,Total,7664,5737,74.85647182
Girls,White,2636,1978,75.03793627
Girls,Asian,2628,1992,75.79908676
Girls,Black,811,626,77.18865598
Girls,Chinese,37,27,72.97297297
Girls,Mixed,818,625,76.40586797
Boys,Total,8121,4996,61.5195173
Boys,White,2716,1686,62.07658321
Boys,Asian,2832,1741,61.4759887
Boys,Black,864,542,62.73148148
Boys,Chinese,38,30,78.94736842
Boys,Mixed,837,537,64.15770609
