la_name,gender,characteristic,characteristic_type,number_of_pupils,gld_number,gld_percent
Haringey,Total,Ethnicity,Total,3014,2247,74.55
Haringey,Total,Ethnicity,White,1496,1153,77.07
Haringey,Total,Ethnicity,Asian,191,146,76.44
Haringey,Total,Ethnicity,Black,607,425,70.02
Haringey,Total,Ethnicity,Chinese,29,22,75.86
Haringey,Total,Ethnicity,Mixed,345,271,78.55
Haringey,Girls,Ethnicity,Total,1484,1201,80.93
Haringey,Girls,Ethnicity,White,733,607,82.81
Haringey,Girls,Ethnicity,Asian,100,86,86
Haringey,Girls,Ethnicity,Black,307,238,77.52
Haringey,Girls,Ethnicity,Chinese,14,13,92.86
Haringey,Girls,Ethnicity,Mixed,168,137,81.55
Haringey,Boys,Ethnicity,Total,1530,1046,68.37
Haringey,Boys,Ethnicity,White,763,546,71.56
Haringey,Boys,Ethnicity,Asian,91,60,65.93
Haringey,Boys,Ethnicity,Black,300,187,62.33
Haringey,Boys,Ethnicity,Chinese,15,9,60
Haringey,Boys,Ethnicity,Mixed,177,134,75.71
